"No. Pengiriman";"Tgl. Pengiriman";"No. PO";"Nama Pelanggan"
"2025/01/0091";30/01/2025;"2W-PR-25-01-478";"FCC INDONESIA PT."
"2025/01/0090";30/01/2025;"C/WH2/YPMI/REG/2025/01/176767";"YAMAHA MOTOR PARTS MANUFACTURING INDONESIA PT."
"2025/01/0089";24/01/2025;"24210153";"CHEMCO HARAPAN NUSANTARA PT."
"2025/01/0087";24/01/2025;"2W-PR-25-01-417";"FCC INDONESIA PT."
"2025/01/0086";24/01/2025;"2W-PR-25-01-416";"FCC INDONESIA PT."
"2025/01/0084";24/01/2025;"24210566";"CHEMCO HARAPAN NUSANTARA PT."
"2025/01/0085";23/01/2025;"ACE-PO00056548";"ASIAN ISUZU CASTING CENTER PT."
"2025/01/0083";23/01/2025;"C/WH2/YPMI/REG/2024/12/176647";"YAMAHA MOTOR PARTS MANUFACTURING INDONESIA PT."
"2025/01/0082";23/01/2025;"C/WH2/YPMI/REG/2024/12/176647";"YAMAHA MOTOR PARTS MANUFACTURING INDONESIA PT."
"2025/01/0080";23/01/2025;"6100035109";"AISIN INDONESIA AUTOMOTIVE PT."
"2025/01/0081";22/01/2025;"271/I/C1/PC/AIM/25";"ASAMA INDONESIA MANUFACTURING PT."
"2025/01/0079";21/01/2025;"C/WH2/YPMI/REG/2024/12/175763";"YAMAHA MOTOR PARTS MANUFACTURING INDONESIA PT."
"2025/01/0078";21/01/2025;"C/WH2/YPMI/REG/2025/01/176767";"YAMAHA MOTOR PARTS MANUFACTURING INDONESIA PT."
"2025/01/0077";21/01/2025;"C/WH2/YPMI/REG/2024/12/176647";"YAMAHA MOTOR PARTS MANUFACTURING INDONESIA PT."
"2025/01/0076";20/01/2025;"24211431";"CHEMCO HARAPAN NUSANTARA PT."
"2025/01/0075";20/01/2025;"24211405";"CHEMCO HARAPAN NUSANTARA PT."
"2025/01/0074";17/01/2025;"2W-PR-25-01-174";"FCC INDONESIA PT."
"2025/01/0073";17/01/2025;"C/WH2/YPMI/REG/2025/01/176758";"YAMAHA MOTOR PARTS MANUFACTURING INDONESIA PT."
"2025/01/0072";17/01/2025;"2W-PR-25-01-241";"FCC INDONESIA PT."
"2025/01/0071";17/01/2025;"24211200";"CHEMCO HARAPAN NUSANTARA PT."
"2025/01/0070";16/01/2025;"24210718";"CHEMCO HARAPAN NUSANTARA PT."
"2025/01/0069";16/01/2025;"1301-X-TRI-2024";"TOKAI RIKA INDONESIA PT."
"2025/01/0068";16/01/2025;"023/HRD/MI/I/25";"MARUICHI INDONESIA PT."
"2025/01/0067";16/01/2025;"0048-I-TRI-2025";"TOKAI RIKA INDONESIA PT."
"2025/01/0066";16/01/2025;"ACE-PO00056548";"ASIAN ISUZU CASTING CENTER PT."
"2025/01/0065";15/01/2025;"24701941";"CHEMCO HARAPAN NUSANTARA PT."
"2025/01/0064";15/01/2025;"24210013";"CHEMCO HARAPAN NUSANTARA PT."
